******************Temp*************************
Inlet_Temp       | 00h | ok  | 55.0 | 31 degrees C
Outlet_Temp      | 01h | ok  |  7.0 | 44 degrees C
CPU0_DTS         | 05h | ok  |  3.0 | 53 degrees C
CPU1_DTS         | 06h | ok  |  3.1 | 50 degrees C
CPU2_DTS         | 0Bh | ok  |  3.2 | 55 degrees C
CPU3_DTS         | 0Ch | ok  |  3.3 | 54 degrees C
CPU0_DDR_DIMM_T  | 07h | ok  | 32.0 | 44 degrees C
CPU0_BPS_DIMM_T  | 08h | ns  | 32.1 | Disabled
CPU1_DDR_DIMM_T  | 09h | ok  | 32.2 | 40 degrees C
CPU1_BPS_DIMM_T  | 0Ah | ns  | 32.3 | Disabled
CPU2_DDR_DIMM_T  | 23h | ok  | 32.4 | 40 degrees C
CPU2_BPS_DIMM_T  | 24h | ns  | 32.5 | Disabled
CPU3_DDR_DIMM_T  | 25h | ok  | 32.6 | 43 degrees C
CPU3_BPS_DIMM_T  | 26h | ns  | 32.7 | Disabled
CPU0_Vcore_T     | 0Fh | ok  | 20.0 | 47 degrees C
CPU1_Vcore_T     | 10h | ok  | 20.1 | 48 degrees C
CPU2_Vcore_T     | 0Dh | ok  | 20.2 | 48 degrees C
CPU3_Vcore_T     | 0Eh | ok  | 20.3 | 47 degrees C
PCH_Temp         | 11h | ok  |  7.0 | 48 degrees C
OCPNIC_Temp      | 12h | ok  | 11.0 | 63 degrees C
OCPNIC_OPT_T     | 13h | ok  | 11.0 | 49 degrees C
P0_NIC_FPGA_T    | 21h | ns  | 11.0 | Disabled
P1_NIC_FPGA_T    | 22h | ns  | 11.1 | Disabled
P2_NIC_FPGA_T    | 40h | ns  | 11.2 | Disabled
P3_NIC_FPGA_T    | 41h | ns  | 11.3 | Disabled
PCIe0_Card_Hot   | 49h | ns  | 11.0 | Disabled
PCIe1_Card_Hot   | 4Ah | ns  | 11.1 | Disabled
PCIe2_Card_Hot   | 4Bh | ns  | 11.2 | Disabled
PCIe3_Card_Hot   | 4Ch | ns  | 11.3 | Disabled
Riser0_Inlet_T   | 1Fh | ns  | 11.0 | Disabled
Riser1_Inlet_T   | 20h | ns  | 11.1 | Disabled
PSU0_Inlet_T     | 32h | ok  | 10.0 | 39 degrees C
PSU1_Inlet_T     | 33h | ok  | 10.1 | 40 degrees C
DOM0_Temp        | 3Eh | ns  | 11.0 | Disabled
DOM1_Temp        | 3Fh | ns  | 11.1 | Disabled
PSU0_VIN         | 54h | ok  | 10.0 | 228 Volts
PSU1_VIN         | 55h | ok  | 10.1 | 228 Volts
PSU0_VOUT        | 56h | ok  | 10.0 | 12.12 Volts
PSU1_VOUT        | 57h | ok  | 10.1 | 12.18 Volts
SYS_12V          | 58h | ok  |  7.0 | 12 Volts
RTC_Battery      | 5Bh | ok  |  7.0 | 3.16 Volts
Main_Efuse_Power | 79h | ok  |  7.0 | 435 Watts
FAN_Power        | 68h | ok  | 20.0 | 26 Watts
CPU_Power        | 02h | ok  |  3.0 | 250 Watts
Memory_Power     | 03h | ok  | 32.0 | 90 Watts
PSU0_PIN         | 69h | ok  | 10.0 | 246 Watts
PSU1_PIN         | 6Ah | ok  | 10.1 | 234 Watts
PSU0_POUT        | 6Bh | ok  | 10.0 | 228 Watts
PSU1_POUT        | 6Ch | ok  | 10.1 | 210 Watts
FAN0_F_Speed     | 6Dh | ok  | 29.0 | 14145 RPM
FAN0_R_Speed     | 6Eh | ok  | 29.1 | 12177 RPM
FAN1_F_Speed     | 6Fh | ok  | 29.2 | 14268 RPM
FAN1_R_Speed     | 70h | ok  | 29.3 | 12300 RPM
FAN2_F_Speed     | 71h | ok  | 29.4 | 11931 RPM
FAN2_R_Speed     | 72h | ok  | 29.5 | 10086 RPM
FAN3_F_Speed     | 73h | ok  | 29.6 | 11685 RPM
FAN3_R_Speed     | 74h | ok  | 29.7 | 10086 RPM
FAN4_F_Speed     | 75h | ok  | 29.8 | 11562 RPM
FAN4_R_Speed     | 76h | ok  | 29.9 | 9963 RPM
FAN5_F_Speed     | 77h | ok  | 29.10 | 11808 RPM
FAN5_R_Speed     | 78h | ok  | 29.11 | 10086 RPM
FAN6_F_Speed     | 7Dh | ok  | 29.10 | 11808 RPM
FAN6_R_Speed     | 64h | ok  | 29.11 | 10086 RPM
FAN7_F_Speed     | 65h | ok  | 29.10 | 11685 RPM
FAN7_R_Speed     | 66h | ok  | 29.11 | 9963 RPM
CPU0_Status      | 7Eh | ok  |  3.0 | Presence detected
CPU1_Status      | 7Fh | ok  |  3.1 | Presence detected
CPU2_Status      | 27h | ok  |  3.2 | Presence detected
CPU3_Status      | 28h | ok  |  3.3 | Presence detected
CPU_Config       | 80h | ok  |  3.0 | 
BMC_Boot_Up      | 82h | ok  | 38.0 | Initiated by power up
SEL_Status       | 84h | ok  |  7.0 | Log area reset/cleared
PSU0_Status      | 85h | ok  | 10.0 | Presence detected
PSU1_Status      | 86h | ok  | 10.1 | Presence detected
PSU_Mismatch     | 87h | ok  | 10.0 | 
PSU_Redundant    | 88h | ok  | 10.0 | 
ACPI_PWR         | 89h | ok  | 23.0 | S0/G0: working
Power_Button     | 8Ah | ok  | 23.0 | Power Button pressed
UID_Button       | 8Bh | ok  | 35.0 | 
CPU0_MEMG0_Hot   | 8Ch | ok  | 32.0 | 
CPU1_MEMG0_Hot   | 8Dh | ok  | 32.1 | 
CPU2_MEMG0_Hot   | 29h | ok  | 32.2 | 
CPU3_MEMG0_Hot   | 2Ah | ok  | 32.3 | 
CPU0_MEMG1_Hot   | 8Eh | ok  | 32.0 | 
CPU1_MEMG1_Hot   | 8Fh | ok  | 32.1 | 
CPU2_MEMG1_Hot   | 2Bh | ok  | 32.2 | 
CPU3_MEMG1_Hot   | 2Ch | ok  | 32.3 | 
FAN0_Status      | 92h | ok  | 29.0 | 
FAN1_Status      | 93h | ok  | 29.1 | 
FAN2_Status      | 94h | ok  | 29.2 | 
FAN3_Status      | 95h | ok  | 29.3 | 
FAN4_Status      | 96h | ok  | 29.4 | 
FAN5_Status      | 97h | ok  | 29.5 | 
FAN6_Status      | C7h | ok  | 29.5 | 
FAN7_Status      | C8h | ok  | 29.5 | 
FAN_Redundant    | 98h | ok  | 29.0 | 
PWR_On_TMOUT     | 99h | ok  | 23.0 | 
DIMM000          | 9Bh | ok  | 32.0 | Presence Detected
DIMM001          | 9Ch | ok  | 32.1 | Presence Detected
DIMM010          | 9Dh | ok  | 32.2 | Presence Detected
DIMM011          | 9Eh | ok  | 32.3 | Presence Detected
DIMM020          | 9Fh | ok  | 32.4 | Presence Detected
DIMM021          | A0h | ok  | 32.5 | Presence Detected
DIMM030          | A1h | ok  | 32.6 | Presence Detected
DIMM031          | A2h | ok  | 32.7 | Presence Detected
DIMM040          | A3h | ok  | 32.8 | Presence Detected
DIMM041          | A4h | ok  | 32.9 | Presence Detected
DIMM050          | A5h | ok  | 32.10 | Presence Detected
DIMM051          | A6h | ok  | 32.11 | Presence Detected
DIMM100          | A7h | ok  | 32.12 | Presence Detected
DIMM101          | A8h | ok  | 32.13 | Presence Detected
DIMM110          | A9h | ok  | 32.14 | Presence Detected
DIMM111          | AAh | ok  | 32.15 | Presence Detected
DIMM120          | ABh | ok  | 32.16 | Presence Detected
DIMM121          | ACh | ok  | 32.17 | Presence Detected
DIMM130          | ADh | ok  | 32.18 | Presence Detected
DIMM131          | AEh | ok  | 32.19 | Presence Detected
DIMM140          | AFh | ok  | 32.20 | Presence Detected
DIMM141          | B0h | ok  | 32.21 | Presence Detected
DIMM150          | B1h | ok  | 32.22 | Presence Detected
DIMM151          | B2h | ok  | 32.23 | Presence Detected
DIMM200          | B3h | ok  | 32.24 | Presence Detected
DIMM201          | B4h | ok  | 32.25 | Presence Detected
DIMM210          | B5h | ok  | 32.26 | Presence Detected
DIMM211          | B6h | ok  | 32.27 | Presence Detected
DIMM220          | B7h | ok  | 32.28 | Presence Detected
DIMM221          | B8h | ok  | 32.29 | Presence Detected
DIMM230          | B9h | ok  | 32.30 | Presence Detected
DIMM231          | BAh | ok  | 32.31 | Presence Detected
DIMM240          | 2Dh | ok  | 32.32 | Presence Detected
DIMM241          | 2Eh | ok  | 32.33 | Presence Detected
DIMM250          | 2Fh | ok  | 32.34 | Presence Detected
DIMM251          | 30h | ok  | 32.35 | Presence Detected
DIMM300          | 31h | ok  | 32.36 | Presence Detected
DIMM301          | 34h | ok  | 32.37 | Presence Detected
DIMM310          | 3Bh | ok  | 32.38 | Presence Detected
DIMM311          | 3Ch | ok  | 32.39 | Presence Detected
DIMM320          | 3Dh | ok  | 32.40 | Presence Detected
DIMM321          | 42h | ok  | 32.41 | Presence Detected
DIMM330          | 43h | ok  | 32.42 | Presence Detected
DIMM331          | 44h | ok  | 32.43 | Presence Detected
DIMM340          | 45h | ok  | 32.44 | Presence Detected
DIMM341          | 46h | ok  | 32.45 | Presence Detected
DIMM350          | 47h | ok  | 32.46 | Presence Detected
DIMM351          | 48h | ok  | 32.47 | Presence Detected
OCPNIC_Status    | E8h | ok  | 11.0 | 
PCH_Status       | E9h | ok  |  7.0 | 
BIOS_Boot_Up     | EAh | ok  | 38.0 | State Asserted
System_Error     | EBh | ok  |  7.0 | 
POST_Status      | ECh | ok  |  7.0 | 
BMC_I2C          | EDh | ok  | 38.0 | 
BMC_Status       | EEh | ok  | 38.0 | 
BMC_MEM_Usage    | F0h | ok  | 38.0 | 
Sys_Health       | F1h | ok  |  7.0 | 
ME_FW_Status     | F2h | ok  |  7.0 | 
BMC_Time_Jump    | F7h | ok  |  7.0 | 
NIC_Boot_TMOUT   | FBh | ok  |  7.0 | 
Time_SYNC_Fail   | F8h | ok  |  7.0 | 
BMC_Task_Fail    | F9h | ok  |  7.0 | 
PWR_CAP_Fail     | FAh | ok  |  7.0 | 
PCIe_Riser0_PG   | FCh | ns  | 11.0 | Disabled
PCIe_Riser1_PG   | FDh | ns  | 11.1 | Disabled
JBOG_Inlet_Temp  | 1Eh | ok  | 55.0 | 30 degrees C
PCIe0_Temp       | 04h | ok  | 11.0 | 56 degrees C
PCIe1_Temp       | 1Ch | ok  | 11.0 | 53 degrees C
PCIe2_Temp       | 1Dh | ok  | 11.0 | 53 degrees C
PCIe3_Temp       | 35h | ok  | 11.0 | 52 degrees C
PCIe4_Temp       | 36h | ok  | 11.0 | 54 degrees C
PCIe5_Temp       | 37h | ok  | 11.0 | 56 degrees C
PCIe6_Temp       | 38h | ok  | 11.0 | 55 degrees C
PCIe7_Temp       | 39h | ok  | 11.0 | 51 degrees C
PCIe8_Temp       | 3Ah | ok  | 11.0 | 52 degrees C
PCIe9_Temp       | F6h | ok  | 11.0 | 53 degrees C
PCIe10_Temp      | 81h | ok  | 11.0 | 52 degrees C
PCIe11_Temp      | FEh | ok  | 11.0 | 55 degrees C
PCIe12_Temp      | FFh | ok  | 11.0 | 55 degrees C
PCIe13_Temp      | 4Dh | ok  | 11.0 | 54 degrees C
PCIe14_Temp      | 4Eh | ok  | 11.0 | 54 degrees C
PCIe15_Temp      | 4Fh | ok  | 11.0 | 52 degrees C
FAN8_F_Speed     | 50h | ok  | 29.0 | 5358 RPM
FAN8_R_Speed     | 51h | ok  | 29.0 | 4845 RPM
FAN9_F_Speed     | 52h | ok  | 29.0 | 5358 RPM
FAN9_R_Speed     | 53h | ok  | 29.0 | 4845 RPM
FAN10_F_Speed    | 59h | ok  | 29.0 | 5358 RPM
FAN10_R_Speed    | 5Ah | ok  | 29.0 | 4845 RPM
FAN11_F_Speed    | 5Ch | ok  | 29.0 | 5358 RPM
FAN11_R_Speed    | 5Dh | ok  | 29.0 | 4845 RPM
FAN12_F_Speed    | 5Eh | ok  | 29.0 | 5358 RPM
FAN12_R_Speed    | 5Fh | ok  | 29.0 | 4845 RPM
PSU2_VIN         | 60h | ok  | 10.0 | 228 Volts
PSU3_VIN         | 61h | ok  | 10.0 | 228 Volts
PSU4_VIN         | 62h | ok  | 10.0 | 228 Volts
PSU5_VIN         | 63h | ok  | 10.0 | 226 Volts
JBOG_SYS_12V     | 67h | ok  |  7.0 | 12 Volts
PSU2_PIN         | C1h | ok  | 10.0 | 234 Watts
PSU3_PIN         | C2h | ok  | 10.1 | 246 Watts
PSU4_PIN         | C3h | ok  | 10.1 | 234 Watts
PSU5_PIN         | C4h | ok  | 10.1 | 222 Watts
PSU2_POUT        | C5h | ok  | 10.0 | 198 Watts
PSU3_POUT        | C6h | ok  | 10.1 | 210 Watts
